varSource,DAM_NAME,varMaterial,sintYearCommissioned,decCrestElevation,decCrestLength,decHeight,decCapacity,LATITUDE_DD,LONGITUDE_DD,,,OWNERSHIP,Maj_Upgrad,Structure,Start Construction,Turbine Generations ,Spillways,Intake Gates,Powerhouse length (m),
ODI ,CARMICHAEL FALLS (FIRST FALL),,,,,,,49.1458016,-82.0308303,,,Private,,,,,,,,
ODI ,Lock 31 - (Buckhorn) - Dam & Lock,,,,,,,44.554258,-78.34514,,,Federal,,,,,,,,
ODI ,tributary of Ouse River:30460,,,,,,,44.4237,-78.0291,,,Private,,,,,,,,
ODI ,,,,,,,,44.263336,-77.602591,,,Federal,,,,,,,,
ODI ,SVCA024,,,,,,,44.2121005,-81.2690393,,,Private,,,,,,,,
ODI ,SVCA007,,,,,,,44.2978996,-81.1037834,,,Private,,,,,,,,
ODI ,,,,,,,,43.9215574,-78.5685198,,,Private,,,,,,,,
ODI ,,,,,,,,43.486111,-80.6511255,,,Conservation Authority,,,,,,,,
ODI ,,,,,,,,43.6155328,-80.1406,,,Private,,,,,,,,
ODI ,,,,,,,,43.4493162,-80.2946706,,,Private,,,,,,,,
ODI ,Wellington Street Weir 2,,,,,,,43.5330896,-80.2539818,,,Private,,,,,,,,
ODI ,Humber River:6877,,,,,,,43.668595,-79.511288,,,Private,,,,,,,,
ODI ,East Duffins Creek:6893,,,,,,,44.000934,-79.074431,,,Private,,,,,,,,
ODI ,Don River:42154,,,,,,,43.741123,-79.333001,,,Private,,,,,,,,
ODI ,,,,,,,,43.871809,-81.107361,,,Conservation Authority,,,,,,,,
ODI ,Lake Travers (East) Dam,,,,,,,46.0333782,-78.0060142,,,Provincial,,,,,,,,
ODI ,McCraney Lake Dam,,,,,,,45.5461769,-78.904512,,,Provincial,,,,,,,,
ODI ,Normandale Fish Culture Station Dam,,,,,,,42.7183861,-80.3323027,,,Provincial,,,,,,,,
ODI ,Bark Lake Dam,,,,,,,44.9211777,-78.4767863,,,Provincial,,,,,,,,
ODI ,Lake Clear Dam,,,,,,,45.4814966,-77.1926845,,,Private,,,,,,,,
ODI ,,,,,,,,45.4201769,-78.0879142,,,Private,,,,,,,,
ODI ,,,,,,,,45.3097495,-74.6361511,,,Conservation Authority,,,,,,,,
ODI ,,,,,,,,45.259142,-75.3504102,,,Private,,,,,,,,
ODI ,Perth Dam,,,,,,,44.898882,-76.252172,,,Private,,,,,,,,
ODI ,,,,,,,,45.0124542,-76.3641296,,,Conservation Authority,,,,,,,,
ODI ,,,,,,,,44.4311417,-77.2920199,,,Conservation Authority,,,,,,,,
ODI ,Black Creek:14031,,,,,,,43.9395,-77.074,,,Private,,,,,,,,
ODI ,,,,,,,,44.6996293,-77.163526,,,Private,,,,,,,,
ODI ,,,,,,,,46.6988294,-82.7718523,,,Private,,,,,,,,
